"Product ID";"Name";"Category ";"Category Name";"Price tax excl.";"Tax rules ID";"Wholesale price";"Description";"url_image"
"19702";"WONDER CELLO TAPE 1-5 INCH";"535";"Tapes & Dispensers";"21.000000";"0";"21.000000";"<p>Self Adhesive Tape, It fits perfectly in the tape dispenser and can be use for packing, binding, sealings and much more, Best stands for heat, humidity and cold, high quality with long self life.</p>";"http://venustradersonline.com/img/p/4/7/9/7/4797.jpg"
"19911";"SOLO SP 111-11-HOLESHEET PROTECTOR PKT OF 100 SHEETS";"591";"Sheet Protector";"350.000000";"0";"350.000000";"<p>11-Punch Holes for universal filing. Clear-view transparent document pockets. Embossed surface traps air and thus prints do not stick to plastic. Anti-static agents added to further enhance""non stick"" property.</p>";"http://venustradersonline.com/img/p/4/9/8/4/4984.jpg"
"19911";"SOLO SP 111-11-HOLESHEET PROTECTOR PKT OF 100 SHEETS";"591";"Sheet Protector";"350.000000";"0";"350.000000";"<p>11-Punch Holes for universal filing. Clear-view transparent document pockets. Embossed surface traps air and thus prints do not stick to plastic. Anti-static agents added to further enhance""non stick"" property.</p>";"http://venustradersonline.com/img/p/4/9/8/5/4985.jpg"
"19911";"SOLO SP 111-11-HOLESHEET PROTECTOR PKT OF 100 SHEETS";"591";"Sheet Protector";"350.000000";"0";"350.000000";"<p>11-Punch Holes for universal filing. Clear-view transparent document pockets. Embossed surface traps air and thus prints do not stick to plastic. Anti-static agents added to further enhance""non stick"" property.</p>";"http://venustradersonline.com/img/p/4/9/8/6/4986.jpg"
"19911";"SOLO SP 111-11-HOLESHEET PROTECTOR PKT OF 100 SHEETS";"591";"Sheet Protector";"350.000000";"0";"350.000000";"<p>11-Punch Holes for universal filing. Clear-view transparent document pockets. Embossed surface traps air and thus prints do not stick to plastic. Anti-static agents added to further enhance""non stick"" property.</p>";"http://venustradersonline.com/img/p/4/9/8/7/4987.jpg"
"20659";"3M GLUE- STICK 20GM";"549";"Glues & Adhesives";"27.000000";"0";"27.000000";"<ul>
<li>Strong, fast-bonding, and no mess.</li>
<li>Great for paper-based, school, home and office projects.</li>
<li>Washable.</li>
<li>Non-toxic.</li>
<li>Great for paper, fabrics, and other lightweight items.</li>
<li>Cleans off hands and household surfaces with soap and water.</li>
<li>Washes cleanly out of most fabrics.</li>
</ul>";"http://venustradersonline.com/img/p/4/8/1/4/4814.jpg"
"20660";"3M GLUE-STICK 8 GM";"549";"Glues & Adhesives";"18.000000";"0";"18.000000";"<ul>
<li>Strong, fast-bonding, and no mess.</li>
<li>Great for paper-based, school, home and office projects.</li>
<li>Washable.</li>
<li>Non-toxic.</li>
<li>Great for paper, fabrics, and other lightweight items.</li>
<li>Cleans off hands and household surfaces with soap and water.</li>
<li>Washes cleanly out of most fabrics.</li>
</ul>";"http://venustradersonline.com/img/p/4/8/1/5/4815.jpg"
"21046";"FREEMANS TOP LINE STEEL TAPE 30M 13MM";"545";"Scales";"659.000000";"0";"659.000000";"<ul>
<li>Premium Quality Fibreglass Measuring Tape.</li>
<li>Manufactured from fiberglass yarn coated with tough weather resistant PVC.</li>
<li>Heated sealed graduations for longer life.</li>
<li>Flexible yet strong and durable.</li>
<li>Non-conductive, non-creasing.</li>
<li>Unbreakable ABS case.</li>
<li>Ideal for Industrial use.</li>
</ul>";"http://venustradersonline.com/img/p/4/7/3/4/4734.jpg"
"21498";"DEEPAK12 INCH METRIC B-5060 SCALE";"355";" Rulers";"121.000000";"0";"121.000000";;"http://venustradersonline.com/img/p/3/9/1/5/3915.jpg"
"21499";"DEEPAK 12 INCH  SCALE ARMSTRONG B-5060";"355";" Rulers";"132.000000";"0";"132.000000";;"http://venustradersonline.com/img/p/3/9/1/4/3914.jpg"
